"Source","Target","Weight"
"Iron(II) oxide","Aluminium oxide","2"
"Iron(II) oxide","Aspect ratio","2"
"Iron(II) oxide","Calcium fluoride","2"
"Iron(II) oxide","Calcium oxide","11"
"Iron(II) oxide","Char","2"
"Iron(II) oxide","Elution","2"
"Iron(II) oxide","Final Zone","2"
"Iron(II) oxide","Fluorine","2"
"Iron(II) oxide","Ion-exchange resin","2"
"Iron(II) oxide","Iron","2"
"Iron(II) oxide","Iron(III) oxide","3"
"Iron(II) sulfate","Crystallization","2"
"Iron(II) sulfate","Heavy water","2"
"Iron(II) sulfate","Iron(II) oxide","2"
"Iron(II) sulfide","Ammonium","2"
"Iron(II) sulfide","Aqueous solution","2"
"Iron(II) sulfide","Bornite","2"
"Iron(II) sulfide","Bromide","2"
"Iron(II) sulfide","Chalcocite","2"
"Iron(II) sulfide","Chalcopyrite","2"
"Iron(II) sulfide","Chloride","2"
"Iron(II) sulfide","Cinnabar","2"
"Iron(II) sulfide","Copper extraction techniques","4"
"Iron(II) sulfide","Copper monosulfide","2"
"Iron(II) sulfide","Copper sulfide","8"
"Iron(II) sulfide","Covellite","2"
"Iron(II) sulfide","Foam","2"
"Iron(II) sulfide","Galena","2"
"Iron(II) sulfide","Hydrogen peroxide","3"
"Iron(II) sulfide","Ion source","2"
"Iron(II,III) oxide","Acyl halide","4"
"Iron(II,III) oxide","Ammonium fluoride","2"
"Iron(II,III) oxide","Coercivity","2"
"Iron(II,III) oxide","Curie temperature","6"
"Iron(II,III) oxide","Fluorine","3"
"Iron(II,III) oxide","Grain boundary","2"
"Iron(III) bromide","Bentonite","3"
"Iron(III) bromide","Boron","3"
"Iron(III) bromide","Calcium oxide","3"
"Iron(III) bromide","Cerium","3"
"Iron(III) bromide","Combination","4"
"Iron(III) bromide","Dolomite","3"
"Iron(III) bromide","Dry basis","4"
"Iron(III) bromide","Fluorite","3"
"Iron(III) bromide","Hydrogen bromide","4"
"Iron(III) bromide","Hydrogen chloride","4"
"Iron(III) bromide","Iron chloride","3"
"Iron(III) chloride","Activated carbon","2"
"Iron(III) chloride","Aluminium chloride","5"
"Iron(III) chloride","Aluminium oxide","2"
"Iron(III) chloride","Ammonium chloride","2"
"Iron(III) chloride","Ammonium dihydrogen phosphate","2"
"Iron(III) chloride","Ammonium hydroxide","2"
"Iron(III) chloride","Ammonium phosphate","2"
"Iron(III) chloride","Base metal","2"
"Iron(III) chloride","Boron trichloride","2"
"Iron(III) chloride","Carbon fiber reinforced polymer","2"
"Iron(III) chloride","Carbon nanotube","2"
"Iron(III) chloride","Cobalt(II) chloride","2"
"Iron(III) chloride","Copper chloride","2"
"Iron(III) chloride","Copper sulfate","2"
"Iron(III) chloride","Copper(II) chloride","2"
"Iron(III) chloride","Copper(II) sulfate","2"
"Iron(III) chloride","Diammonium phosphate","2"
"Iron(III) chloride","Diatomaceous earth","2"
"Iron(III) chloride","Electronic waste","3"
"Iron(III) chloride","Ferrous","2"
"Iron(III) chloride","First Set","4"
"Iron(III) chloride","Glass fiber","2"
"Iron(III) chloride","Glass microsphere","2"
"Iron(III) chloride","Graphene","2"
"Iron(III) chloride","Hydrochloric acid","4"
"Iron(III) chloride","Inconel","4"
"Iron(III) chloride","Ionic liquid","2"
"Iron(III) chloride","Iron chloride","4"
"Iron(III) chloride","Iron(II) chloride","3"
"Iron(III) fluoride","Acyl halide","4"
"Iron(III) fluoride","Iron(II) fluoride","4"
"Iron(III) nitrate","Aluminium oxide","2"
"Iron(III) nitrate","Ammonium dihydrogen phosphate","2"
"Iron(III) nitrate","Ammonium hydroxide","2"
"Iron(III) nitrate","Ammonium phosphate","2"
"Iron(III) nitrate","Aqueous solution","2"
"Iron(III) nitrate","Copper sulfide","2"
"Iron(III) nitrate","Diammonium phosphate","2"
"Iron(III) nitrate","Electronic waste","4"
"Iron(III) nitrate","Iron(III) chloride","2"
"Iron(III) oxide","Acyl halide","9"
"Iron(III) oxide","Aluminium oxide","7"
"Iron(III) oxide","Ammonium dihydrogen phosphate","2"
"Iron(III) oxide","Ammonium fluoride","2"
"Iron(III) oxide","Ammonium phosphate","2"
"Iron(III) oxide","Boron trioxide","2"
"Iron(III) oxide","Cerium(IV) oxide","3"
"Iron(III) oxide","Chlorine","2"
"Iron(III) oxide","Chromium(III) oxide","2"
"Iron(III) oxide","Cobalt oxide","2"
"Iron(III) oxide","Cobalt(II) oxide","3"
"Iron(III) oxide","Code refactoring","2"
"Iron(III) oxide","Coercivity","3"
"Iron(III) oxide","Copper(I) oxide","2"
"Iron(III) oxide","Copper(II) oxide","2"
"Iron(III) oxide","Cryogenics","3"
"Iron(III) oxide","Curie temperature","6"
"Iron(III) oxide","Diammonium phosphate","2"
"Iron(III) oxide","Ferrimagnetism","2"
"Iron(III) oxide","Ferromagnetism","2"
"Iron(III) oxide","Fluid parcel","5"
"Iron(III) oxide","Fluorine","6"
"Iron(III) oxide","Gadolinium(III) oxide","3"
"Iron(III) oxide","Glass","7"
"Iron(III) oxide","Grain boundary","4"
"Iron(III) oxide","Hafnium(IV) oxide","2"
"Iron(III) oxide","Hematite","3"
"Iron(III) oxide","Hydrochloric acid","2"
"Iron(III) oxide","Hydrogen chloride","8"
"Iron(III) oxide","Iron(II) fluoride","5"
"Iron(III) oxide","Iron(II,III) oxide","3"
"Iron(III) oxide","Iron(III) chloride","2"
"Iron(III) oxide","Iron(III) fluoride","2"
"Iron(III) oxide","Iron(III) nitrate","2"
"Iron(III) phosphate","Aluminium oxide","2"
"Iron(III) phosphate","Ammonium dihydrogen phosphate","2"
"Iron(III) phosphate","Ammonium phosphate","2"
"Iron(III) phosphate","Diammonium phosphate","2"
"Iron(III) phosphate","Iron(III) chloride","2"
"Iron(III) phosphate","Iron(III) nitrate","2"
"Iron(III) phosphate","Iron(III) oxide","2"
"Iron(III) sulfate","Chemical reactor","2"
"Iron(III) sulfate","Hematite","6"
"Iron(III) sulfate","Iron(III) chloride","2"
"Iron(III) sulfate","Iron(III) oxide","4"
"Iron(III) sulfide","Base metal","2"
"Ironsand","Aluminium oxide","2"
"Ironsand","Calcium oxide","2"
"Ironworks","Blast furnace","11"
"Ironworks","Carbon dioxide","5"
"Ironworks","Carbon monoxide","8"
"Ironworks","Coagulation","2"
"Ironworks","Dimethyl ether","3"
"Ironworks","Drilling and blasting","6"
"Ironworks","Force","2"
"Ironworks","Gypsum","2"
"Ironworks","Invention","5"
"Iron–nickel alloy","Amorphous metal","2"
"Iron–nickel alloy","Carbon steel","2"
"Iron–nickel alloy","Carbonyl iron","2"
"Iron–nickel alloy","Ferroalloy","4"
"Iron–nickel alloy","Flux (metallurgy)","4"
"Iron–nickel alloy","Heat Treatment","2"
"Iron–nickel alloy","Heat treating","2"
"Iron–nickel alloy","Hydrochloric acid","2"
"Iron–sulfur protein","Cytochrome","2"
"Iron–sulfur protein","Enzyme","6"
"Irrigation","Foreplay/Long Time","2"
"Irrigation","Invention","2"
"Isobutane","Alkane","3"
"Isobutanol","1-Propanol","3"
"Isobutanol","2-Methoxyethanol","2"
"Isobutanol","2-Pyrrolidone","2"
"Isobutanol","Benzyl alcohol","2"
"Isobutanol","Coolant","2"
"Isobutanol","Diacetone alcohol","2"
"Isobutanol","Dimethoxyethane","2"
"Isobutanol","Dimethyl sulfoxide","2"
"Isobutanol","Ethylene glycol","5"
"Isobutanol","Hexanol","2"
"Isocitric acid","Aconitic acid","3"
"Isocitric acid","Adipic acid","3"
"Isocitric acid","Citric acid","3"
"Isocitric acid","Extraction (chemistry)","3"
"Isocitric acid","Glutaric acid","3"
"Isocyanate","Combination","3"
"Isocyanate","Epoxy","2"
"Isocyanate","Hafnium","3"
"Isocyanide","Chemical reaction","2"
"Isoelectric point","Acid gas","3"
"Isolation valve","Carriage","5"
"Isolation valve","Glovebox","5"
"Isolation valve","Inert gas","3"
"Isoleucine","Amino acid","3"
"Isoleucine","Arginine","2"
"Isoleucine","Asparagine","3"
"Isoleucine","Citrulline","2"
"Isoleucine","Cystathionine","2"
"Isoleucine","Cysteine","3"
"Isoleucine","Elution","2"
"Isoleucine","Glutamic acid","2"
"Isoleucine","Glycine","3"
"Isoleucine","Histidine","2"
"Isomalt","1O","2"
"Isomalt","6O","2"
"Isomalt","Carbohydrate","2"
"Isomalt","Erythritol","2"
"Isomalt","Galactitol","2"
"Isomalt","Inositol","2"
"Isomer","Benzene","4"
"Isomer","Benzoic acid","6"
"Isomer","Cyclohexane","4"
"Isomer","Erythritol","2"
"Isomer","Hydroxymethyl","2"
"Isometric projection","Electric power distribution","2"
"Isometric projection","Electrical connector","2"
"Isometric projection","Inlet","2"
"Isophthalic acid","Acetic acid","8"
"Isophthalic acid","Aqueous solution","4"
"Isophthalic acid","Benzene","4"
"Isophthalic acid","Benzoic acid","4"
"Isophthalic acid","Cyclohexane","4"
"Isophthalic acid","Hydrobromic acid","4"
"Isopropyl acetate","Coolant","2"
"Isopropyl alcohol","1-Propanol","3"
"Isopropyl alcohol","2-Methoxyethanol","2"
"Isopropyl alcohol","2-Pyrrolidone","2"
"Isopropyl alcohol","Acetic acid","2"
"Isopropyl alcohol","Benzene","2"
"Isopropyl alcohol","Benzyl alcohol","2"
"Isopropyl alcohol","Butanol","2"
"Isopropyl alcohol","Butanone","2"
"Isopropyl alcohol","Combination","2"
"Isopropyl alcohol","Composite material","2"
"Isopropyl alcohol","Coolant","2"
"Isopropyl alcohol","Cyclohexane","3"
"Isopropyl alcohol","Diacetone alcohol","2"
"Isopropyl alcohol","Dimethoxyethane","2"
"Isopropyl alcohol","Dimethyl sulfoxide","2"
"Isopropyl alcohol","Ethyl acetate","5"
"Isopropyl alcohol","Ethylene glycol","10"
"Isopropyl alcohol","Gram per litre","2"
"Isopropyl alcohol","Hexane","2"
"Isopropyl alcohol","Hexanol","2"
"Isopropyl alcohol","Hydroxy group","2"
"Isopropyl alcohol","Iron nitride","2"
"Isopropyl alcohol","Isobutanol","2"
"Isoquinoline","Heterocyclic compound","2"
"Isothermal transformation diagram","Celsius","2"
"Isotopes of bismuth","Copper sulfate","3"
"Isotopes of bismuth","Copper(II) sulfate","3"
"Isotopes of iridium","Aqueous solution","2"
"Isotopes of lead","Copper sulfate","3"
"Isotopes of lead","Copper(II) sulfate","3"
"Isotopes of lead","Isotopes of bismuth","4"
"Isotopes of platinum","Aqueous solution","2"
"Isotopes of polonium","Copper sulfate","3"
"Isotopes of polonium","Copper(II) sulfate","3"
"Isotopes of polonium","Isotopes of bismuth","4"
"Isotopes of polonium","Isotopes of lead","4"
"Isotopes of radium","Isotopes of bismuth","2"
"Isotopes of radium","Isotopes of lead","2"
"Isotopes of radium","Isotopes of polonium","2"
"Isotopes of thorium","Isotopes of bismuth","3"
"Isotopes of thorium","Isotopes of lead","3"
"Isotopes of thorium","Isotopes of polonium","3"
"Isotopes of thorium","Isotopes of radium","2"
"Isoxazole","Heterocyclic compound","2"
"Itaconic acid","(Hydroxyethyl)methacrylate","5"
"Itaconic acid","Acrylamide","6"
"Itaconic acid","Acrylic acid","8"
"Itaconic acid","Benzhydryl compounds","2"
"Itaconic acid","Combination","3"
"Izo","Causality","2"
"Izo","Diffusion barrier","4"
"Izo","Invention","2"
"Jamesonite","Bournonite","3"
"Jamesonite","Enargite","4"
"Japanese Industrial Standards","Electromagnetic radiation","2"
"Japanese Industrial Standards","Human body","2"
"Jar","Drill bit","2"
"Jar","Drill string","3"
"Jersey barrier","Hollow-core slab","3"
"Jet engine","Aircraft engine","3"
"Jet engine","Crankshaft deep rolling","2"
"Jet engine","Gas turbine","7"
"Jet engine","Glass melting","2"
"Jet mill","Addition","3"
"Jet mill","Ball mill","2"
"Jet mill","Branch","2"
"Jet mill","Ferrite (magnet)","3"
"Jet mill","Fine Powder","19"
"Jet mill","Heat Treatment","2"
"Jet mill","Heat treating","2"
"Jet mill","Inert gas","7"
"Jet mill","Ingot","3"
"Jewellery","Austenitic stainless steel","2"
"Jewellery","Civil engineering","2"
"Jewellery","Eyewear","2"
"Jewellery","Fashion","2"
"Jewellery","Footwear","2"
"Jewellery","Healthcare industry","2"
"Jewellery","Industrial design","2"
"Joint replacement","Artificial bone","3"
"Joint replacement","Dental material","2"
"Joint replacement","Hip","2"
"Joule effect","Alternating current","4"
"Joule effect","C battery","2"
"Joule effect","Calorie","3"
"Joule effect","D battery","2"
"Joule effect","Enclosure","2"
"Joule effect","Heat Treatment","2"
"Joule effect","Heat treating","2"
"Joule effect","High frame rate","2"
"Joule heating","Dew point","2"
"Journal","Debris","2"
"Journal","Interface area","2"
"Justicia adhatoda","Abelmoschus moschatus","2"
"Justicia adhatoda","Abrus precatorius","2"
"Justicia adhatoda","Acmella oleracea","2"
"Justicia adhatoda","Acorus calamus","2"
"Justicia adhatoda","Andrographis paniculata","2"
"Justicia adhatoda","Anisomeles malabarica","2"
"Justicia adhatoda","Antimony","2"
"Justicia adhatoda","Asparagus racemosus","2"
"Justicia adhatoda","Bacopa monnieri","2"
"Justicia adhatoda","Bimetal","2"
"Justicia adhatoda","Bismuth","2"
"Justicia adhatoda","Cadmium","2"
"Justicia adhatoda","Catharanthus roseus","2"
"Justicia adhatoda","Cheilocostus speciosus","2"
"Justicia adhatoda","Citric acid","2"
"Justicia adhatoda","Curcuma aromatica","2"
"Justicia adhatoda","Datura metel","2"
"Justicia adhatoda","Desmodium gangeticum","2"
"Justicia adhatoda","Extract","2"
"Justicia adhatoda","Impurity","2"
"Justicia adhatoda","Indigofera tinctoria","2"
"K18","Alloy","2"
"K18","Inert gas","2"
"KJ/kg","Calcium sulfate","2"
"KOE","Acyl halide","11"
"KOE","Addition","2"
"KOE","Cathode ray","2"
"KOE","Coercivity","34"
"KOE","Crystal structure","2"
"KOE","Curie temperature","28"
"KOE","Electromagnetic radiation","2"
"KOE","Fluorine","14"
"KOE","Grain boundary","7"
"KOE","Iron oxide","2"
"KOE","Iron(II) fluoride","5"
"KOE","Iron(III) fluoride","2"
"KOE","Iron(III) oxide","2"
"Kaempferia rotunda","Abelmoschus moschatus","2"
"Kaempferia rotunda","Abrus precatorius","2"
"Kaempferia rotunda","Acmella oleracea","2"
"Kaempferia rotunda","Acorus calamus","2"
"Kaempferia rotunda","Andrographis paniculata","2"
"Kaempferia rotunda","Anisomeles malabarica","2"
"Kaempferia rotunda","Antimony","2"
"Kaempferia rotunda","Asparagus racemosus","2"
"Kaempferia rotunda","Bacopa monnieri","2"
"Kaempferia rotunda","Bimetal","2"
"Kaempferia rotunda","Bismuth","2"
"Kaempferia rotunda","Cadmium","2"
"Kaempferia rotunda","Catharanthus roseus","2"
"Kaempferia rotunda","Cheilocostus speciosus","2"
"Kaempferia rotunda","Citric acid","2"
"Kaempferia rotunda","Curcuma aromatica","2"
"Kaempferia rotunda","Datura metel","2"
"Kaempferia rotunda","Desmodium gangeticum","2"
"Kaempferia rotunda","Extract","2"
"Kaempferia rotunda","Impurity","2"
"Kaempferia rotunda","Indigofera tinctoria","2"
"Kaempferia rotunda","Justicia adhatoda","2"
"Kaolinite","Calcium carbonate","2"
"Kaolinite","Calcium hydroxide","2"
"Kaolinite","Clay","5"
"Kaolinite","Clay minerals","5"
"KeY","Amorphous metal","2"
"Kelvin","Heat sink","3"
"Kennecott Utah Copper","Adverse effect","2"
"Kennecott Utah Copper","Campaign Life Coalition","2"
"Kennecott Utah Copper","Flash ADC","2"
"Kerogen","Ammonium chloride","2"
"Kerogen","Asphalt","2"
"Kerogen","Biomass","2"
"Kerogen","Black liquor","2"
"Kerogen","Carbon dioxide","2"
"Kerogen","Catalysis","2"
"Kerogen","Heavy crude oil","2"
"Kerosene","Blast furnace","4"
"Kerosene","Combination","2"
"Kerosene","Dielectric","2"
"Kerosene","Electrorheological fluid","2"
"Kerosene","Gasoline","4"
"Keyhole","Bevel","3"
"Kiln","Agglomerate","4"
"Kiln","Dismissal (employment)","2"
"Kiln","Fish measurement","4"
"Kiln","Intermediate good","2"
"Kilogram per cubic metre","Drinking water","2"
"Kilogram per cubic metre","Hydrochloric acid","2"
"Kinematics","Bimorph","2"
"Kinematics","Ceramic","2"
"Kinematics","Claustrum","2"
"Kinematics","Electric power distribution","7"
"Kinematics","Feedback","4"
"Kinematics","Fracture toughness","2"
"Kinematics","Glossary of musical terminology","2"
"Kinematics","Insulator (electricity)","2"
"Kinematics","Invention","5"
"Kinetic energy","Alloy","3"
"King of the Hill (game)","Iron oxide","2"
"Kirk/Spock","Alloy","3"
"Kirk/Spock","Amorphous metal","3"
"Kirschner wire","Herbert screw","2"
"Kirschner wire","Intramedullary rod","2"
"Knee","Hip","2"
"Knee","Joint replacement","2"
"Knife","Invention","2"
"Knockout","Aluminium oxide","2"
"Knoop hardness test","Fluid parcel","2"
"Knurling","Compressive stress","2"
"Kraft process","By-product","4"
"Kraft process","Cationic polymerization","5"
"Kraft process","Clarifying agent","5"
"Kraft process","Coagulant","3"
"Kurtosis","Frequency distribution","3"
"Kyanite","Aluminium phosphate","3"
"L-value","Lightness","2"
"L45","Aluminium alloy","2"
"LSm","Lanthanum strontium manganite","2"
"Lability","Extraction (chemistry)","2"
"Laboratory information management system","High-intensity magnetic separator","2"
"Labyrinth seal","Covered wagon","8"
"Labyrinth seal","Hydraulic cylinder","6"
"Lacquer","Base metal","6"
"Lacquer","Gel","6"
"Lactic acid","Acetic acid","2"
"Lactic acid","Ammonium chloride","2"
"Lactic acid","Aqueous solution","2"
"Lactic acid","Ascorbic acid","4"
"Lactic acid","Caprolactone","5"
"Lactic acid","Carboxylic acid","2"
"Lactic acid","Citric acid","6"
"Lactic acid","Copolymer","4"
"Lactic acid","Fumaric acid","4"
"Lactic acid","Glycolic acid","6"
"Lactic acid","Ionic liquid","2"
"Lactide","Caprolactone","5"
"Lactide","Copolymer","4"
"Lactide","Glycolic acid","5"
"Lactide","Lactic acid","5"
"Lactitol","1O","2"
"Lactitol","6O","2"
"Lactitol","Carbohydrate","2"
"Lactitol","Erythritol","2"
"Lactitol","Galactitol","2"
"Lactitol","Inositol","2"
"Lactitol","Isomalt","2"
"Lactone","Alkoxy group","3"
"Lactone","Alkyl","2"
"Lactone","Aryl","2"
"Lactone","Combination","2"
"Lactone","Dielectric","2"
"Lactone","Epoxy","3"
"Lactone","Fullerene","2"
"Lactone","Functional group","2"
"Lactone","Graphene","4"
"Lagerstätte","Asphalt","2"
"Lagerstätte","Asphaltene","2"
"Lagerstätte","Fuel oil","2"
"Lambda","Electrical resistivity and conductivity","2"
"Lamella (materials)","Electrical resistivity and conductivity","2"
"Lamella (materials)","Electronic component","2"
"Lamella (materials)","Grain boundary","2"
"Lamellar granule","Fine structure","4"
"Lamellar structure","Combination","3"
"Lamellar structure","Elastic modulus","4"
"Lamellar structure","Hafnium","3"
"Lamellar structure","Heat Treatment","8"
"Lamellar structure","Heat treating","8"
"Lamellar structure","Ingot","2"
"Laminar flow","Airflow","2"
"Laminar-turbulent transition","Electric arc furnace","4"
"Laminar-turbulent transition","Gas","2"
"Laminar-turbulent transition","Invention","2"
"Lamination","Airfoil","2"
"Lamination","Arsenic","2"
"Lamination","Cerium","2"
"Lamination","Compressive strength","2"
"Lamination","Electrical conductor","4"
"Lamination","Gallium","2"
"Lamination","Gram-positive bacteria","4"
"Lamination","Grid plan","2"
"Lamination","Hard disk drive","2"
"Lamination","Indium","2"
"Lamination","Integrated circuit","4"
"Lamprin","Homology (biology)","2"
"Land of Oz","Accordance","2"
"Land of Oz","Heat Treatment","2"
"Land of Oz","Heat treating","2"
"Land reclamation","Electronics","2"
"Land reclamation","Groundwater","4"
"Landfill","Asr prayer","2"
"Landing Gear","Alloy steel","3"
"Landing Gear","Drive shaft","2"
"Lankford coefficient","Expected value","2"
"Lanthanide","Actinide","16"
"Lanthanide","Alkali metal","6"
"Lanthanide","Alkaline earth metal","6"
"Lanthanide","Aluminium nitride","2"
"Lanthanide","Aluminium oxide","2"
"Lanthanide","Americium","3"
"Lanthanide","Antimony","2"
"Lanthanide","Atomic number","7"
"Lanthanide","Atomic ratio","2"
"Lanthanide","Barium","2"
"Lanthanide","Beryllium","2"
"Lanthanide","Bismuth","6"
"Lanthanide","Boron","4"
"Lanthanide","Boron trioxide","2"
"Lanthanide","Cadmium","2"
"Lanthanide","Cerium","2"
"Lanthanide","Combination","2"
"Lanthanide","Curium","2"
"Lanthanide","Dysprosium","2"
"Lanthanide","Erbium","2"
"Lanthanide","Europium","2"
"Lanthanide","Fuel cell","2"
"Lanthanide","Gadolinium","3"
"Lanthanide","Gallium","5"
"Lanthanide","Hafnium","8"
"Lanthanide","Holmium","2"
"Lanthanide","Indium","6"
"Lanthanide","Inner core","2"
"Lanthanide","Invention","7"
"Lanthanum","Actinide","5"
"Lanthanum","Alloy","5"
"Lanthanum","Alloy steel","2"
"Lanthanum","Aluminium","2"
"Lanthanum","Aluminium alloy","4"
"Lanthanum","Aluminium nitride","2"
"Lanthanum","Aluminium oxide","5"
"Lanthanum","Antimony","15"
"Lanthanum","Aqueous solution","4"
"Lanthanum","Argon","2"
"Lanthanum","Arsenic","2"
"Lanthanum","Atomic number","2"
"Lanthanum","Bainite","2"
"Lanthanum","Barium","12"
"Lanthanum","Base metal","2"
"Lanthanum","Benzhydryl compounds","2"
"Lanthanum","Beryllium","5"
"Lanthanum","Bismuth","15"
"Lanthanum","Boride","2"
"Lanthanum","Boron","43"
"Lanthanum","Cadmium","8"
"Lanthanum","Caesium","9"
"Lanthanum","Carbon dioxide","4"
"Lanthanum","Cerium","128"
"Lanthanum","Chelation","4"
"Lanthanum","Combination","10"
"Lanthanum","Dysprosium","40"
"Lanthanum","Erbium","28"
"Lanthanum","Europium","30"
"Lanthanum","Fluid parcel","2"
"Lanthanum","Gadolinium","44"
"Lanthanum","Gallium","21"
"Lanthanum","Gas turbine","2"
"Lanthanum","Germanium","2"
"Lanthanum","Grain boundary","2"
"Lanthanum","Group 3 element","4"
"Lanthanum","Hafnium","47"
"Lanthanum","Helium","2"
"Lanthanum","Hexafluoroacetylacetone","2"
"Lanthanum","Holmium","23"
"Lanthanum","Hydrogen technologies","3"
"Lanthanum","Impurity","2"
"Lanthanum","Indium","13"
"Lanthanum","Industrial metal","4"
"Lanthanum","Intermediate good","2"
"Lanthanum","Invention","3"
"Lanthanum","Lanthanide","5"
"Lanthanum oxide","Alloy","2"
"Lanthanum oxide","Aluminium oxide","4"
"Lanthanum oxide","Cerium oxide","6"
"Lanthanum oxide","Cerium(IV) oxide","7"
"Lanthanum oxide","Cobalt oxide","4"
"Lanthanum oxide","Combination","4"
"Lanthanum oxide","Copper oxide","4"
"Lanthanum oxide","Dysprosium(III) oxide","4"
"Lanthanum oxide","Erbium(III) oxide","5"
"Lanthanum oxide","Europium(III) oxide","5"
"Lanthanum oxide","Gadolinium(III) oxide","5"
"Lanthanum oxide","Gold(III) oxide","4"
"Lanthanum oxide","Holmium(III) oxide","4"
"Lanthanum oxide","Indium(III) oxide","4"
"Lanthanum oxide","Iridium(IV) oxide","4"
"Lanthanum oxide","Iron oxide","4"
"Laptop","Backlight","2"
"Laptop","Bottle","5"
"Laptop","Boxcar","5"
"Laptop","Car","2"
"Laptop","Computer monitor","15"
"Laptop","Cordless telephone","13"
"Laptop","Desktop computer","6"
"Laptop","Drill pipe","5"
"Laptop","Electric vehicle","2"
"Laptop","Electronic game","13"
"Laptop","Electronic visual display","13"
"Laptop","Electronics","16"
"Laptop","Empennage","5"
"Laptop","Helipad","5"
"Large numbers","Blast furnace","2"
"Large numbers","Carbon nanotube","2"
"Large numbers","Chain-link fencing","3"
"Large numbers","Combination","2"
"Large numbers","Combustion","2"
"Large numbers","Compound annual growth rate","2"
"Large numbers","Computer-aided design","2"
"Large numbers","Cryogenics","2"
"Large numbers","Drill bit","2"
"Large numbers","Drilling and blasting","3"
"Large numbers","Hardness","4"
"Large numbers","Heat Treatment","2"
"Large numbers","Heat treating","2"
"Large numbers","Hypophosphorous acid","2"
"Large numbers","Intermetallic","3"
"Large numbers","Invention","4"
"Laser","12A","2"
"Laser","14A","2"
"Laser","3D modeling","2"
"Laser","3D printing","2"
"Laser","Accordance","12"
"Laser","Aircraft dynamic modes","2"
"Laser","Allotropes of carbon","28"
"Laser","Alloy","34"
"Laser","Aluminium alloy","2"
"Laser","Atmospheric pressure","2"
"Laser","Average","6"
"Laser","Beam diameter","2"
"Laser","Bearing surface","2"
"Laser","Blast furnace","8"
"Laser","Boiling point","2"
"Laser","Butt joint","11"
"Laser","CPU time","2"
"Laser","Cadmium","2"
"Laser","Case-hardening","2"
"Laser","Cathode ray","17"
"Laser","Cavitation","3"
"Laser","Ceramic","4"
"Laser","Charged particle beam","3"
"Laser","Chemical composition","2"
"Laser","Closed manifold","4"
"Laser","Cobalt","2"
"Laser","Command & Conquer: Red Alert 2","3"
"Laser","Corrosion","2"
"Laser","Deep structure and surface structure","2"
"Laser","Device file","2"
"Laser","Differential geometry of surfaces","2"
"Laser","Direct Contact","9"
"Laser","Distance","3"
"Laser","Distribution center","2"
"Laser","Electric power distribution","5"
"Laser","Electrical steel","11"
"Laser","Electromagnetic field","5"
"Laser","Element (mathematics)","2"
"Laser","Enclosure","24"
"Laser","Energy density","4"
"Laser","Energy development","48"
"Laser","Equal-time rule","2"
"Laser","Eutectic system","12"
"Laser","Exothermic reaction","3"
"Laser","Extreme points of Earth","14"
"Laser","First Set","12"
"Laser","Fluid dynamics","2"
"Laser","Fluid parcel","12"
"Laser","Free fall","7"
"Laser","Frequency","2"
"Laser","Glossary of musical terminology","2"
"Laser","Gravity","7"
"Laser","Heat sink","20"
"Laser","Inert gas","2"
"Laser","Insulator (electricity)","4"
"Laser","Interstitial element","18"
"Laser","Invention","20"
"Laser","Keulegan–Carpenter number","2"
"Laser","Kinematics","14"
"Laser","Large numbers","2"
"Laser Beam","12A","2"
"Laser Beam","14A","2"
"Laser Beam","Alloy","6"
"Laser Beam","Aluminium alloy","2"
"Laser Beam","Atmospheric pressure","2"
"Laser Beam","Average","6"
"Laser Beam","Beam diameter","2"
"Laser Beam","Bearing surface","2"
"Laser Beam","Blast furnace","8"
"Laser Beam","Boiling point","2"
"Laser Beam","Butt joint","11"
"Laser Beam","CPU time","2"
"Laser Beam","Cadmium","2"
"Laser Beam","Case-hardening","2"
"Laser Beam","Cathode ray","17"
"Laser Beam","Ceramic","3"
"Laser Beam","Closed manifold","4"
"Laser Beam","Cobalt","2"
"Laser Beam","Command & Conquer: Red Alert 2","3"
"Laser Beam","Corrosion","2"
"Laser Beam","Deep structure and surface structure","2"
"Laser Beam","Distance","3"
"Laser Beam","Distribution center","2"
"Laser Beam","Electric power distribution","5"
"Laser Beam","Electrical steel","11"
"Laser Beam","Element (mathematics)","2"
"Laser Beam","Energy density","2"
"Laser Beam","Equal-time rule","2"
"Laser Beam","Exothermic reaction","3"
"Laser Beam","First Set","12"
"Laser Beam","Fluid parcel","12"
"Laser Beam","Frequency","2"
"Laser Beam","Glossary of musical terminology","2"
"Laser Beam","Insulator (electricity)","2"
"Laser Beam","Interstitial element","18"
"Laser Beam","Invention","16"
"Laser Beam","Keulegan–Carpenter number","2"
"Laser Beam","Kinematics","10"
"Laser Beam","Large numbers","2"
"Laser Beam","Laser","326"
"Laser ablation","Carbon nanotube","5"
"Laser ablation","Electric arc","2"
"Laser beam welding","Aluminium alloy","3"
"Laser beam welding","Arc welding","2"
"Laser beam welding","Butt joint","11"
"Laser beam welding","Butt welding","4"
"Laser beam welding","Electric resistance welding","7"
"Laser beam welding","Electron beam welding","2"
"Laser beam welding","Laser","11"
"Laser beam welding","Laser Beam","11"
"Laser diode","Laser","2"
"Laser peening","Abrasive blasting","2"
"Laser peening","Case-hardening","2"
"Laser peening","Computer program","2"
"Laser peening","Crankshaft","2"
"Laser peening","Damage tolerance","2"
"Laser peening","Electric power distribution","2"
