cluster,cluster_name,year,n_preprints,n_articles,n_books_and_chapters
29,decision making; social networks analysis; social media,2010,0,0,2
29,decision making; social networks analysis; social media,2011,0,0,1
29,decision making; social networks analysis; social media,2011,0,0,12
29,decision making; social networks analysis; social media,2012,4,14,2
29,decision making; social networks analysis; social media,2012,4,14,22
29,decision making; social networks analysis; social media,2013,8,21,6
29,decision making; social networks analysis; social media,2013,8,21,32
29,decision making; social networks analysis; social media,2014,12,39,3
29,decision making; social networks analysis; social media,2014,12,39,30
29,decision making; social networks analysis; social media,2015,9,32,5
29,decision making; social networks analysis; social media,2015,9,32,31
29,decision making; social networks analysis; social media,2016,9,40,4
29,decision making; social networks analysis; social media,2016,9,40,43
29,decision making; social networks analysis; social media,2017,6,43,6
29,decision making; social networks analysis; social media,2017,6,43,30
29,decision making; social networks analysis; social media,2018,2,30,3
29,decision making; social networks analysis; social media,2018,2,30,20
29,decision making; social networks analysis; social media,2011,0,7,0
29,decision making; social networks analysis; social media,2010,0,1,0
29,decision making; social networks analysis; social media,2009,0,1,0
27,molecular modeling; mass spectrometry; gene expression,2018,0,36,0
27,molecular modeling; mass spectrometry; gene expression,2017,0,45,0
27,molecular modeling; mass spectrometry; gene expression,2013,0,22,0
27,molecular modeling; mass spectrometry; gene expression,2012,0,11,0
27,molecular modeling; mass spectrometry; gene expression,2011,0,2,0
27,molecular modeling; mass spectrometry; gene expression,2010,0,3,0
27,molecular modeling; mass spectrometry; gene expression,2009,0,1,0
26,dynamical systems; representation theory; tropical geometry,2009,0,6,0
26,dynamical systems; representation theory; tropical geometry,2008,0,5,0
25,life expectancy; global health; quality of life,2018,0,23,0
25,life expectancy; global health; quality of life,2017,0,34,0
25,life expectancy; global health; quality of life,2015,0,30,0
25,life expectancy; global health; quality of life,2014,0,26,0
25,life expectancy; global health; quality of life,2011,0,4,0
25,life expectancy; global health; quality of life,2010,0,5,0
25,life expectancy; global health; quality of life,2009,0,3,0
25,life expectancy; global health; quality of life,2008,0,4,0
24,national identity; social movements; political economy,2009,0,5,0
24,national identity; social movements; political economy,2008,0,6,0
23,global governance; international relations; foreign policy,2009,0,6,0
21,radiation effects; circuit simulation; high energy physics,2014,0,15,0
21,radiation effects; circuit simulation; high energy physics,2012,0,8,0
21,radiation effects; circuit simulation; high energy physics,2011,0,2,0
21,radiation effects; circuit simulation; high energy physics,2010,0,1,0
20,linear programming; financial markets; stock market,2018,0,8,0
19,big data; cloud computing; software engineering,2011,0,4,0
19,big data; cloud computing; software engineering,2010,0,4,0
19,big data; cloud computing; software engineering,2009,0,2,0
19,big data; cloud computing; software engineering,2008,0,1,0
17,computational complexity; stochastic systems; combinatorial optimization,2011,0,18,0
16,molecular dynamics; magnetic field; quantum theory,2014,0,54,0
16,molecular dynamics; magnetic field; quantum theory,2012,0,39,0
16,molecular dynamics; magnetic field; quantum theory,2011,0,14,0
16,molecular dynamics; magnetic field; quantum theory,2010,0,9,0
16,molecular dynamics; magnetic field; quantum theory,2009,0,5,0
16,molecular dynamics; magnetic field; quantum theory,2008,0,1,0
14,phase transition; numerical methods; earth rotation,2012,0,32,0
14,phase transition; numerical methods; earth rotation,2011,0,18,0
14,phase transition; numerical methods; earth rotation,2009,0,6,0
14,phase transition; numerical methods; earth rotation,2008,0,2,0
13,higher education; social capital; public policy,2010,0,1,0
13,higher education; social capital; public policy,2009,0,4,0
13,higher education; social capital; public policy,2008,0,1,0
12,life satisfaction; educational policy; social identity,2011,0,26,0
12,life satisfaction; educational policy; social identity,2010,0,13,0
12,life satisfaction; educational policy; social identity,2009,0,8,0
12,life satisfaction; educational policy; social identity,2008,0,5,0
11,brain mapping; motor cortex; visual perception,2011,0,12,0
11,brain mapping; motor cortex; visual perception,2010,0,13,0
11,brain mapping; motor cortex; visual perception,2009,0,4,0
11,brain mapping; motor cortex; visual perception,2008,0,1,0
10,data mining; machine learning; artificial intelligence,2012,0,25,0
10,data mining; machine learning; artificial intelligence,2011,0,8,0
10,data mining; machine learning; artificial intelligence,2010,0,5,0
10,data mining; machine learning; artificial intelligence,2009,0,4,0
10,data mining; machine learning; artificial intelligence,2008,0,1,0
8,internet of things; information retrieval; knowledge extraction,2013,0,12,0
8,internet of things; information retrieval; knowledge extraction,2012,0,4,0
8,internet of things; information retrieval; knowledge extraction,2011,0,1,0
7,russian regions; human rights; health care policy,2010,0,11,0
7,russian regions; human rights; health care policy,2009,0,11,0
7,russian regions; human rights; health care policy,2008,0,3,0
6,carbon nanotubes; superplastic forming; magnetic fields,2018,0,44,0
6,carbon nanotubes; superplastic forming; magnetic fields,2017,0,67,0
6,carbon nanotubes; superplastic forming; magnetic fields,2015,0,51,0
6,carbon nanotubes; superplastic forming; magnetic fields,2014,0,42,0
6,carbon nanotubes; superplastic forming; magnetic fields,2013,0,24,0
6,carbon nanotubes; superplastic forming; magnetic fields,2012,0,21,0
6,carbon nanotubes; superplastic forming; magnetic fields,2011,0,9,0
6,carbon nanotubes; superplastic forming; magnetic fields,2010,0,7,0
6,carbon nanotubes; superplastic forming; magnetic fields,2009,0,4,0
6,carbon nanotubes; superplastic forming; magnetic fields,2008,0,1,0
5,blended learning; history of education; performance indicators,2016,0,15,0
5,blended learning; history of education; performance indicators,2014,0,10,0
5,blended learning; history of education; performance indicators,2013,0,10,0
5,blended learning; history of education; performance indicators,2012,0,3,0
5,blended learning; history of education; performance indicators,2010,0,3,0
4,diffusion processes; differential equations; chaotic flow,2010,0,20,0
4,diffusion processes; differential equations; chaotic flow,2008,0,4,0
3,innovation; foresight; knowledge management,2011,0,10,0
3,innovation; foresight; knowledge management,2010,0,8,0
3,innovation; foresight; knowledge management,2009,0,2,0
2,graph theory; computation theory; genetic algorithms,2010,0,2,0
2,graph theory; computation theory; genetic algorithms,2008,0,2,0
1,natural language processing; computational linguistics; digital humanities,2011,0,10,0
0,urban studies; history of philosophy; cultural sociology,2010,0,9,0
0,urban studies; history of philosophy; cultural sociology,2009,0,5,0
15,monopolistic competition; corporate governance; monetary policy,2008,7,4,0
23,global governance; international relations; foreign policy,2008,2,7,0
4,diffusion processes; differential equations; chaotic flow,2009,1,6,0
20,linear programming; financial markets; stock market,2008,1,1,0
20,linear programming; financial markets; stock market,2009,1,1,0
26,dynamical systems; representation theory; tropical geometry,2011,4,14,0
17,computational complexity; stochastic systems; combinatorial optimization,2008,2,8,0
